"proteinSearched","gene","EnsemblID","EntrezSummary","GeneCardsSummary","UniProtKB_Summary","todaysDate"
"protein","NUDT18","ENSG00000275074","The protein encoded by this gene is a member of the Nudix hydrolase family. Nudix hydrolases eliminate potentially toxic nucleotide metabolites from the cell and regulate the concentrations and availability of many different nucleotide substrates, cofactors, and signaling molecules. This protein contains a Nudix hydrolase domain and hydrolyzes oxidized forms of guanosine and deoxyguanosine diphosphates. [provided by RefSeq, Sep 2012]","                                            NUDT18 (Nudix Hydrolase 18) is a Protein Coding gene.                                            Diseases associated with NUDT18 include Atrial Septal Defect 3 and Lung Papillary Adenocarcinoma.                                            Among its related pathways are Metabolism of nucleotides and Metabolism.                                            Gene Ontology (GO) annotations related to this gene include hydrolase activity and 8-oxo-dGDP phosphatase activity.                                            An important paralog of this gene is NUDT17.","Mediates the hydrolysis of oxidized nucleoside diphosphate derivatives. Hydrolyzes 8-oxo-7,8-dihydroguanine (8-oxo-Gua)-containing deoxyribo- and ribonucleoside diphosphates to the monophosphates. Hydrolyzes 8-oxo-dGDP and 8-oxo-GDP with the same efficiencies. Hydrolyzes also 8-OH-dADP and 2-OH-dADP. Exhibited no or minimal hydrolysis activity against 8-oxo-dGTP, 8-oxo-GTP, dGTP, GTP, dGDP and GDP. Probably removes oxidized guanine nucleotides from both the DNA and RNA precursor pools.
                         NUD18_HUMAN,Q6ZVK8
                         ","Thu Aug 27 08:09:30 2020"
"protein","DLG3","ENSG00000082458","This gene encodes a member of the membrane-associated guanylate kinase protein family. The encoded protein may play a role in clustering of NMDA receptors at excitatory synapses. It may also negatively regulate cell proliferation through interaction with the C-terminal region of the adenomatosis polyposis coli tumor suppressor protein. Mutations in this gene have been associated with X-linked cognitive disability. Alternatively spliced transcript variants have been described. [provided by RefSeq, Oct 2009]","                                            DLG3 (Discs Large MAGUK Scaffold Protein 3) is a Protein Coding gene.                                            Diseases associated with DLG3 include Non-Syndromic X-Linked Intellectual Disability and Alacrima, Achalasia, And Mental Retardation Syndrome.                                            Among its related pathways are Neuroscience and Transmission across Chemical Synapses.                                            Gene Ontology (GO) annotations related to this gene include ubiquitin protein ligase binding and protein C-terminus binding.                                            An important paralog of this gene is DLG2.","Required for learning most likely through its role in synaptic plasticity following NMDA receptor signaling.
                         DLG3_HUMAN,Q92796
                         ","Thu Aug 27 08:09:31 2020"
"protein","IGFALS","ENSG00000099769","The protein encoded by this gene is a serum protein that binds insulin-like growth factors, increasing their half-life and their vascular localization. Production of the encoded protein, which contains twenty leucine-rich repeats, is stimulated by growth hormone. Defects in this gene are a cause of acid-labile subunit deficiency, which maifests itself in a delayed and slow puberty. Three transcript variants encoding two different isoforms have been found for this gene. [provided by RefSeq, Mar 2009]","                                            IGFALS (Insulin Like Growth Factor Binding Protein Acid Labile Subunit) is a Protein Coding gene.                                            Diseases associated with IGFALS include Acid-Labile Subunit Deficiency and Laron Syndrome.                                            Among its related pathways are Relaxin signaling pathway and Metabolism of proteins.                                            Gene Ontology (GO) annotations related to this gene include insulin-like growth factor binding.                                            An important paralog of this gene is TLR8.","Involved in protein-protein interactions that result in protein complexes, receptor-ligand binding or cell adhesion.
                         ALS_HUMAN,P35858
                         ","Thu Aug 27 08:09:32 2020"
"protein","SLC1A1","ENSG00000106688","This gene encodes a member of the high-affinity glutamate transporters that play an essential role in transporting glutamate across plasma membranes. In brain, these transporters are crucial in terminating the postsynaptic action of the neurotransmitter glutamate, and in maintaining extracellular glutamate concentrations below neurotoxic levels. This transporter also transports aspartate, and mutations in this gene are thought to cause dicarboxylicamino aciduria, also known as glutamate-aspartate transport defect. [provided by RefSeq, Mar 2010]","                                            SLC1A1 (Solute Carrier Family 1 Member 1) is a Protein Coding gene.                                            Diseases associated with SLC1A1 include Dicarboxylic Aminoaciduria and Schizophrenia 18.                                            Among its related pathways are Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds and Neuroscience.                                            Gene Ontology (GO) annotations related to this gene include L-glutamate transmembrane transporter activity and sodium:dicarboxylate symporter activity.                                            An important paralog of this gene is SLC1A3.","Sodium-dependent, high-affinity amino acid transporter that mediates the uptake of L-glutamate and also L-aspartate and D-aspartate (PubMed:7914198, PubMed:7521911, PubMed:8857541, PubMed:26690923, PubMed:21123949). Can also transport L-cysteine (PubMed:21123949). Functions as a symporter that transports one amino acid molecule together with two or three Na(+) ions and one proton, in parallel with the counter-transport of one K(+) ion (PubMed:7521911, PubMed:8857541, PubMed:26690923). Mediates Cl(-) flux that is not coupled to amino acid transport; this avoids the accumulation of negative charges due to aspartate and Na(+) symport (PubMed:8857541, PubMed:26690923). Plays an important role in L-glutamate and L-aspartate reabsorption in renal tubuli (PubMed:21123949). Plays a redundant role in the rapid removal of released glutamate from the synaptic cleft, which is essential for terminating the postsynaptic action of glutamate (By similarity). Contributes to glutathione biosynthesis and protection against oxidative stress via its role in L-glutamate and L-cysteine transport (By similarity). Negatively regulated by ARL6IP5 (By similarity).
                         EAA3_HUMAN,P43005
                         ","Thu Aug 27 08:09:33 2020"
"protein","F2","ENSG00000180210","This gene encodes the prothrombin protein (also known as coagulation factor II). This protein is proteolytically cleaved in multiple steps to form the activated serine protease thrombin. The activated thrombin enzyme plays an important role in thrombosis and hemostasis by converting fibrinogen to fibrin during blood clot formation, by stimulating platelet aggregation, and by activating additional coagulation factors. Thrombin also plays a role in cell proliferation, tissue repair, and angiogenesis as well as maintaining vascular integrity during development and postnatal life. Peptides derived from the C-terminus of this protein have antimicrobial activity against E. coli and P. aeruginosa. Mutations in this gene lead to various forms of thrombosis and dysprothrombinemia. Rapid increases in cytokine levels following coronavirus infections can dysregulate the coagulation cascade and produce thrombosis, compromised blood supply, and organ failure. [provided by RefSeq, May 2020]","                                            F2 (Coagulation Factor II, Thrombin) is a Protein Coding gene.                                            Diseases associated with F2 include Prothrombin Deficiency, Congenital and Thrombophilia Due To Thrombin Defect.                                            Among its related pathways are RET signaling and Formation of Fibrin Clot (Clotting Cascade).                                            Gene Ontology (GO) annotations related to this gene include calcium ion binding and serine-type endopeptidase activity.                                            An important paralog of this gene is PAMR1.","Thrombin, which cleaves bonds after Arg and Lys, converts fibrinogen to fibrin and activates factors V, VII, VIII, XIII, and, in complex with thrombomodulin, protein C. Functions in blood homeostasis, inflammation and wound healing.
                         THRB_HUMAN,P00734
                         ","Thu Aug 27 08:09:34 2020"
"protein","OTOS","ENSG00000178602","Otospiralin is synthesized by nonsensory cells (fibrocytes) of the inner ear, and downregulation of otospiralin in guinea pigs leads to deafness (Lavigne-Rebillard et al., 2003 [PubMed 12687421]).[supplied by OMIM, Mar 2008]","                                            OTOS (Otospiralin) is a Protein Coding gene.                                            Diseases associated with OTOS include Ivic Syndrome and Sensory Ataxic Neuropathy, Dysarthria, And Ophthalmoparesis.                                                                                                                                    ","May be essential for the survival of the neurosensory epithelium of the inner ear.
                         OTOSP_HUMAN,Q8NHW6
                         ","Thu Aug 27 08:09:35 2020"
"protein","ENO1","ENSG00000074800","This gene encodes alpha-enolase, one of three enolase isoenzymes found in mammals. Each isoenzyme is a homodimer composed of 2 alpha, 2 gamma, or 2 beta subunits, and functions as a glycolytic enzyme. Alpha-enolase in addition, functions as a structural lens protein (tau-crystallin) in the monomeric form. Alternative splicing of this gene results in a shorter isoform that has been shown to bind to the c-myc promoter and function as a tumor suppressor. Several pseudogenes have been identified, including one on the long arm of chromosome 1. Alpha-enolase has also been identified as an autoantigen in Hashimoto encephalopathy. [provided by RefSeq, Jan 2011]","                                            ENO1 (Enolase 1) is a Protein Coding gene.                                            Diseases associated with ENO1 include Hashimoto Encephalopathy and Cancer-Associated Retinopathy.                                            Among its related pathways are Glucose metabolism and Validated targets of C-MYC transcriptional activation.                                            Gene Ontology (GO) annotations related to this gene include transcription corepressor activity.                                            An important paralog of this gene is ENO3.","Glycolytic enzyme the catalyzes the conversion of 2-phosphoglycerate to phosphoenolpyruvate (PubMed:29775581, PubMed:1369209). In addition to glycolysis, involved in various processes such as growth control, hypoxia tolerance and allergic responses (PubMed:2005901, PubMed:10802057, PubMed:12666133, PubMed:29775581). May also function in the intravascular and pericellular fibrinolytic system due to its ability to serve as a receptor and activator of plasminogen on the cell surface of several cell-types such as leukocytes and neurons (PubMed:12666133). Stimulates immunoglobulin production (PubMed:1369209).
                         ENOA_HUMAN,P06733
                         ","Thu Aug 27 08:09:36 2020"
"protein","GATC","ENSG00000257218","                                            GATC (Glutamyl-TRNA Amidotransferase Subunit C) is a Protein Coding gene.                                            Diseases associated with GATC include Combined Oxidative Phosphorylation Deficiency 42 and Wound Botulism.                                            Among its related pathways are Metabolism and tRNA Aminoacylation.                                            Gene Ontology (GO) annotations related to this gene include glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity.                                            An important paralog of this gene is ENSG00000111780.","                                            GATC (Glutamyl-TRNA Amidotransferase Subunit C) is a Protein Coding gene.                                            Diseases associated with GATC include Combined Oxidative Phosphorylation Deficiency 42 and Wound Botulism.                                            Among its related pathways are Metabolism and tRNA Aminoacylation.                                            Gene Ontology (GO) annotations related to this gene include glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity.                                            An important paralog of this gene is ENSG00000111780.","Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in the mitochondria. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu-tRNA(Gln).
                         GATC_HUMAN,O43716
                         ","Thu Aug 27 08:09:37 2020"
"protein","FAM162A","ENSG00000114023","                                            FAM162A (Family With Sequence Similarity 162 Member A) is a Protein Coding gene.                                            Diseases associated with FAM162A include Arthrogryposis, Distal, Type 7.                                                                                                                                    An important paralog of this gene is FAM162B.","                                            FAM162A (Family With Sequence Similarity 162 Member A) is a Protein Coding gene.                                            Diseases associated with FAM162A include Arthrogryposis, Distal, Type 7.                                                                                                                                    An important paralog of this gene is FAM162B.","Proposed to be involved in regulation of apoptosis; the exact mechanism may differ between cell types/tissues. May be involved in hypoxia-induced cell death of transformed cells implicating cytochrome C release and caspase activation (such as CASP9) and inducing mitochondrial permeability transition. May be involved in hypoxia-induced cell death of neuronal cells probably by promoting release of AIFM1 from mitochondria to cytoplasm and its translocation to the nucleus; however, the involvement of caspases has been reported conflictingly.
                         F162A_HUMAN,Q96A26
                         ","Thu Aug 27 08:09:38 2020"
"protein","PSMF1","ENSG00000125818","The 26S proteasome is a multicatalytic proteinase complex with a highly ordered structure composed of 2 complexes, a 20S core and a 19S regulator. The 20S core is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of 7 alpha subunits and 2 rings are composed of 7 beta subunits. The 19S regulator is composed of a base, which contains 6 ATPase subunits and 2 non-ATPase subunits, and a lid, which contains up to 10 non-ATPase subunits. Proteasomes are distributed throughout eukaryotic cells at a high concentration and cleave peptides in an ATP/ubiquitin-dependent process in a non-lysosomal pathway. An essential function of a modified proteasome, the immunoproteasome, is the processing of class I MHC peptides. This gene encodes a protein that inhibits the activation of the proteasome by the 11S and 19S regulators. Alternative transcript variants have been identified for this gene. [provided by RefSeq, Jul 2008]","                                            PSMF1 (Proteasome Inhibitor Subunit 1) is a Protein Coding gene.                                            Diseases associated with PSMF1 include Parkinson Disease 15, Autosomal Recessive Early-Onset.                                            Among its related pathways are Regulation of activated PAK-2p34 by proteasome mediated degradation and Antigen processing-Cross presentation.                                            Gene Ontology (GO) annotations related to this gene include endopeptidase inhibitor activity and proteasome binding.                                            ","Plays an important role in control of proteasome function. Inhibits the hydrolysis of protein and peptide substrates by the 20S proteasome. Also inhibits the activation of the proteasome by the proteasome regulatory proteins PA700 and PA28.
                         PSMF1_HUMAN,Q92530
                         ","Thu Aug 27 08:09:38 2020"
"protein","HECW1","ENSG00000002746","                                            HECW1 (HECT, C2 And WW Domain Containing E3 Ubiquitin Protein Ligase 1) is a Protein Coding gene.                                                                                        Among its related pathways are Signaling by GPCR and Signaling by Wnt.                                            Gene Ontology (GO) annotations related to this gene include ligase activity and ubiquitin protein ligase activity.                                            An important paralog of this gene is HECW2.","                                            HECW1 (HECT, C2 And WW Domain Containing E3 Ubiquitin Protein Ligase 1) is a Protein Coding gene.                                                                                        Among its related pathways are Signaling by GPCR and Signaling by Wnt.                                            Gene Ontology (GO) annotations related to this gene include ligase activity and ubiquitin protein ligase activity.                                            An important paralog of this gene is HECW2.","E3 ubiquitin-protein ligase that mediates ubiquitination and subsequent degradation of DVL1. Also targets the mutant SOD1 protein involved in familial amyotrophic lateral sclerosis (FALS). Forms cytotoxic aggregates with DVL1, SSR3 and mutant SOD1 that lead to motor neuron death in FALS.
                         HECW1_HUMAN,Q76N89
                         ","Thu Aug 27 08:09:39 2020"
"protein","MAP2K7","ENSG00000076984","The protein encoded by this gene is a dual specificity protein kinase that belongs to the MAP kinase kinase family. This kinase specifically activates MAPK8/JNK1 and MAPK9/JNK2, and this kinase itself is phosphorylated and activated by MAP kinase kinase kinases including MAP3K1/MEKK1, MAP3K2/MEKK2,MAP3K3/MEKK5, and MAP4K2/GCK. This kinase is involved in the signal transduction mediating the cell responses to proinflammatory cytokines, and environmental stresses. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2014]","                                            MAP2K7 (Mitogen-Activated Protein Kinase Kinase 7) is a Protein Coding gene.                                            Diseases associated with MAP2K7 include Acneiform Dermatitis and Colorectal Adenocarcinoma.                                            Among its related pathways are GDNF-Family Ligands and Receptor Interactions and Integrin Pathway.                                            Gene Ontology (GO) annotations related to this gene include transferase activity, transferring phosphorus-containing groups and protein tyrosine kinase activity.                                            An important paralog of this gene is MAP2K4.","Dual specificity protein kinase which acts as an essential component of the MAP kinase signal transduction pathway. Essential component of the stress-activated protein kinase/c-Jun N-terminal kinase (SAP/JNK) signaling pathway. With MAP2K4/MKK4, is the one of the only known kinase to directly activate the stress-activated protein kinase/c-Jun N-terminal kinases MAPK8/JNK1, MAPK9/JNK2 and MAPK10/JNK3. MAP2K4/MKK4 and MAP2K7/MKK7 both activate the JNKs by phosphorylation, but they differ in their preference for the phosphorylation site in the Thr-Pro-Tyr motif. MAP2K4/MKK4 shows preference for phosphorylation of the Tyr residue and MAP2K7/MKK7 for the Thr residue. The monophosphorylation of JNKs on the Thr residue is sufficient to increase JNK activity indicating that MAP2K7/MKK7 is important to trigger JNK activity, while the additional phosphorylation of the Tyr residue by MAP2K4/MKK4 ensures optimal JNK activation. Has a specific role in JNK signal transduction pathway activated by proinflammatory cytokines. The MKK/JNK signaling pathway is also involved in mitochondrial death signaling pathway, including the release cytochrome c, leading to apoptosis. Part of a non-canonical MAPK signaling pathway, composed of the upstream MAP3K12 kinase and downstream MAP kinases MAPK1/ERK2 and MAPK3/ERK1, that enhances the AP-1-mediated transcription of APP in response to APOE (PubMed:28111074).
                         MP2K7_HUMAN,O14733
                         ","Thu Aug 27 08:09:41 2020"
"protein","PRR24","ENSG00000257704","                                            INAFM1 (InaF Motif Containing 1) is a Protein Coding gene.                                                                                                                                                                                ","                                            INAFM1 (InaF Motif Containing 1) is a Protein Coding gene.                                                                                                                                                                                ","no summary","Thu Aug 27 08:09:42 2020"
"protein","OR52A4","ENSG00000205494","Olfactory receptors interact with odorant molecules in the nose, to initiate a neuronal response that triggers the perception of a smell. The olfactory receptor proteins are members of a large family of G-protein-coupled receptors (GPCR) arising from single coding-exon genes. Olfactory receptors share a 7-transmembrane domain structure with many neurotransmitter and hormone receptors and are responsible for the recognition and G protein-mediated transduction of odorant signals. The olfactory receptor gene family is the largest in the genome. The nomenclature assigned to the olfactory receptor genes and proteins for this organism is independent of other organisms. Although originally considered to be a functional olfactory receptor, this family member is now considered to be pseudogene due to the presence of a C-terminal frameshift compared to other family members; this is also consistent with the Classifier for Olfactory Receptor Pseudogenes (CORP), as described in PMID:16939646. [provided by RefSeq, Jun 2011]","                                            OR52A4P (Olfactory Receptor Family 52 Subfamily A Member 4 Pseudogene) is a Pseudogene.                                                                                        Among its related pathways are Signaling by GPCR and Olfactory transduction.                                            Gene Ontology (GO) annotations related to this gene include G protein-coupled receptor activity and olfactory receptor activity.                                            ","Odorant receptor.
                         O52A4_HUMAN,A6NMU1
                         ","Thu Aug 27 08:09:44 2020"
